Squad,# Pl_x,90s_x,GA_x,PKA_x,FK_x,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_x,Att_x,Cmp%_x,Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,# Pl_y,Age_x,Poss_x,MP_x,Starts_x,Min_x,90s_y,Gls_x,Ast_x,G+A,G-PK,PK_x,PKatt_x,CrdY,CrdR,xG_x,npxG_x,xAG_x,npxG+xAG,PrgC_x,PrgP_x,G+A-PK,xG+xAG,Gls_y,Sh_x,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_y,PK_y,PKatt_y,xG_y,npxG_y,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,PassLive,PassDead,TO,Sh_y,Fld,Def,GCA,GCA90,MP_y,Starts_y,Min_y,GA_y,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA_y,PKsv,PKm,Tkl,TklW,Def 3rd_x,Mid 3rd_x,Att 3rd_x,Att_y,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Age_y,MP,Min,Mn/MP,Min%,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Poss_y,Touches,Def Pen,Def 3rd_y,Mid 3rd_y,Att 3rd_y,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_x,PrgDist_x,PrgC_y,1/3_x,CPA,Mis,Dis,Rec,PrgR,# Pl,90s,Cmp_y,Cmp%_y,TotDist_y,PrgDist_y,Ast_y,xAG_y,xA,A-xAG,KP,1/3_y,PPA,CrsPA,PrgP_y
Arsenal,1,26.0,0.96,0.08,0.0,0.15,0.04,0.94,0.27,0.02,0.02,2.92,10.8,27.1,4.92,35.1,33.4,10.2,0.62,6.1,1.23,1.23,16.8,25,25.0,60.2,26,286,2340,26.0,2.15,1.58,3.73,2.08,0.08,0.08,1.46,0.0,1.93,1.88,1.39,3.27,23.2,56.7,3.65,3.32,2.15,16.5,5.12,30.9,16.54,5.12,0.13,0.41,16.3,0.5,0.08,0.08,1.93,1.88,0.12,0.22,0.19,29.5,29.46,22.0,2.31,1.23,2.15,1.23,0.58,3.77,3.77,26,26,2340,0.96,0.96,3.19,2.27,72.3,0.77,0.12,0.12,0.42,42.3,0.12,0.08,0.0,0.04,14.5,8.92,6.19,5.15,3.15,11.8,52.0,5.65,8.88,2.12,6.77,6.42,20.9,15.8,0.62,25.0,26,2340,90,100,11.0,85,7.38,3.69,14,5.31,2.42,2.27,0.96,1.31,1.31,1.93,0.98,0.96,0.96,60.2,690.4,49.3,168.3,307.2,219.7,35.6,690.3,8.58,46.0,7.54,40.4,419.6,2261.7,1187.8,23.2,15.8,7.73,14.6,10.5,483.1,56.0,25,26.0,487.9,83.2,8294.0,2715.3,1.58,1.39,1.22,0.19,12.4,44.2,12.7,1.62,56.7
Aston Villa,2,25.0,1.52,0.12,0.04,0.32,0.16,1.24,0.26,-0.12,-0.12,5.32,14.6,36.5,4.04,36.3,33.7,13.3,1.72,13.0,1.2,1.2,14.6,25,27.6,48.5,25,275,2250,25.0,1.16,0.76,1.92,1.04,0.12,0.12,2.08,0.04,1.2,1.12,0.87,1.98,15.0,32.8,1.8,2.08,1.16,11.0,3.8,34.5,11.0,3.8,0.09,0.27,18.6,0.44,0.12,0.12,1.2,1.12,0.1,-0.04,-0.08,19.3,19.28,14.8,1.16,1.04,1.0,1.0,0.32,2.04,2.04,25,25,2250,1.52,1.52,4.16,2.76,66.3,0.4,0.16,0.44,0.28,28.0,0.16,0.12,0.04,0.0,17.8,9.24,9.0,6.72,2.08,15.7,52.7,7.44,12.6,3.4,9.24,9.36,27.2,17.7,0.36,27.6,25,2250,90,100,11.0,82,7.0,3.96,21,4.96,1.36,1.24,1.52,-0.28,-0.28,1.2,1.5,-0.3,-0.29,48.5,575.6,69.5,206.9,249.0,125.0,18.2,575.4,6.4,39.9,6.84,42.6,322.7,1623.2,811.0,15.0,10.8,4.2,15.3,10.4,363.2,32.3,25,25.0,367.3,78.7,6488.3,2342.3,0.76,0.87,0.73,-0.11,7.96,26.3,6.72,2.0,32.8
Bournemouth,2,25.0,2.04,0.24,0.0,0.52,0.12,1.76,0.3,-0.16,-0.16,6.88,15.8,43.5,4.56,45.6,36.3,21.0,1.2,5.7,0.8,0.8,11.2,29,26.9,38.5,25,275,2250,25.0,0.96,0.72,1.68,0.96,0.0,0.0,1.72,0.0,0.85,0.85,0.67,1.52,12.5,24.9,1.68,1.52,0.96,8.48,3.04,35.8,8.48,3.04,0.11,0.32,15.7,0.4,0.0,0.0,0.85,0.85,0.1,0.11,0.11,14.4,14.4,10.3,1.28,0.88,1.08,0.68,0.16,1.68,1.68,25,25,2250,2.04,2.04,5.24,3.32,65.6,0.2,0.24,0.56,0.2,20.0,0.24,0.24,0.0,0.0,16.5,9.92,8.52,6.48,1.52,14.4,47.4,7.56,13.7,5.04,8.64,8.44,25.0,28.2,0.2,26.9,25,2250,90,100,11.0,84,7.6,3.44,19,5.56,0.84,0.96,2.04,-1.08,-1.08,0.85,1.7,-0.86,-0.86,38.5,504.1,78.1,208.6,196.5,105.8,16.7,504.1,6.6,40.1,8.44,51.3,249.3,1361.2,661.8,12.5,10.2,3.16,15.6,10.4,285.7,24.3,29,25.0,288.6,74.9,5126.2,2145.4,0.72,0.67,0.65,0.05,6.48,20.5,5.6,1.96,24.9
Brentford,1,23.0,1.3,0.04,0.0,0.3,0.09,1.33,0.24,0.11,0.11,9.3,23.2,40.2,4.61,50.6,39.3,16.0,1.61,10.1,1.52,1.52,15.8,25,26.9,43.7,23,253,2070,23.0,1.57,0.91,2.48,1.35,0.22,0.22,1.43,0.0,1.4,1.23,0.92,2.16,10.1,29.8,2.26,2.32,1.57,10.1,3.83,37.9,10.09,3.83,0.13,0.35,15.7,0.3,0.22,0.22,1.4,1.23,0.13,0.16,0.11,17.5,17.52,12.0,2.48,0.65,1.17,1.04,0.17,2.61,2.61,23,23,2070,1.3,1.3,5.57,4.35,77.3,0.35,0.48,0.17,0.35,34.8,0.04,0.04,0.0,0.0,14.9,8.17,6.96,5.74,2.17,15.0,42.9,8.57,11.7,4.83,6.91,9.26,24.1,22.5,0.35,26.9,23,2070,90,100,11.0,82,6.57,4.43,19,4.57,1.52,1.61,1.3,0.3,0.3,1.4,1.26,0.14,0.14,43.7,521.8,70.0,194.7,204.7,126.6,21.3,521.6,5.74,40.6,6.3,44.6,275.9,1302.5,632.7,10.1,8.04,2.22,14.5,9.57,292.8,29.6,25,23.0,295.5,72.2,5439.3,2284.4,0.91,0.92,0.78,-0.0,7.17,24.2,7.57,2.17,29.8
Brighton,2,23.0,1.26,0.22,0.0,0.17,0.13,1.06,0.25,-0.07,-0.07,2.48,8.91,27.8,4.43,24.1,29.0,9.74,0.74,7.6,0.7,0.7,13.1,25,27.3,59.1,23,253,2070,23.0,1.7,1.09,2.78,1.52,0.17,0.17,1.35,0.0,1.72,1.59,1.26,2.85,20.5,49.4,2.61,2.98,1.7,14.5,5.48,37.8,14.48,5.48,0.11,0.28,16.6,0.35,0.17,0.17,1.72,1.59,0.11,-0.02,-0.07,26.0,25.96,20.2,1.78,1.52,1.39,0.78,0.26,3.04,3.04,23,23,2070,1.26,1.26,3.22,2.04,67.6,0.48,0.22,0.3,0.3,30.4,0.26,0.22,0.04,0.0,16.7,9.17,7.35,6.48,2.83,13.2,51.5,6.39,10.0,2.57,7.43,8.7,25.3,12.0,0.3,27.3,23,2070,90,100,11.0,84,7.3,3.74,18,5.26,1.65,1.87,1.26,0.61,0.61,1.72,1.17,0.55,0.55,59.1,699.0,63.5,210.3,312.2,181.3,28.0,698.9,7.22,44.7,6.61,41.0,427.0,2158.1,1111.7,20.5,13.0,6.0,14.8,9.0,494.2,48.8,25,23.0,498.7,83.3,8490.7,2796.2,1.09,1.26,1.14,-0.17,11.5,39.5,10.4,2.13,49.4
Chelsea,2,25.0,1.0,0.0,0.04,0.24,0.08,1.14,0.3,0.22,0.22,2.76,7.64,36.1,4.96,17.5,26.0,13.6,0.68,5.0,1.64,1.64,16.4,32,27.5,58.8,25,275,2250,25.0,0.96,0.68,1.64,0.88,0.08,0.08,2.16,0.12,1.19,1.13,0.91,2.04,20.4,43.8,1.56,2.11,0.96,11.8,3.72,31.6,11.76,3.72,0.07,0.24,16.8,0.28,0.08,0.08,1.19,1.13,0.1,-0.23,-0.25,20.8,20.8,16.7,1.48,0.76,0.96,0.68,0.24,1.76,1.76,25,25,2250,1.0,1.0,4.0,3.08,75.0,0.36,0.28,0.36,0.36,36.0,0.0,0.0,0.0,0.0,20.1,11.6,9.6,7.2,3.28,16.0,54.3,7.32,11.8,2.6,9.24,9.52,29.6,18.6,0.36,27.5,25,2250,90,100,11.0,80,6.32,4.6,22,4.4,1.36,0.96,1.0,-0.04,-0.04,1.19,1.23,-0.04,-0.04,58.8,715.8,67.2,227.4,318.1,175.6,23.2,715.7,7.64,40.2,9.24,48.6,427.5,2154.4,1114.4,20.4,15.2,5.16,15.6,11.0,498.8,43.6,32,25.0,500.7,83.4,8262.8,2758.0,0.68,0.91,0.83,-0.23,8.96,36.6,8.76,1.8,43.8
Crystal Palace,1,25.0,1.28,0.04,0.0,0.16,0.08,1.2,0.27,-0.0,-0.01,4.4,12.4,35.5,5.12,36.3,33.0,15.7,1.0,6.4,1.04,1.04,13.2,24,27.7,44.3,25,275,2250,25.0,0.8,0.68,1.48,0.8,0.0,0.08,2.44,0.12,0.9,0.84,0.68,1.52,13.3,30.6,1.48,1.58,0.8,10.0,3.24,32.3,10.04,3.24,0.08,0.25,17.7,0.48,0.0,0.08,0.9,0.84,0.08,-0.1,-0.04,17.7,17.68,12.0,1.68,1.2,1.12,1.24,0.4,1.44,1.44,25,25,2250,1.28,1.28,4.4,3.2,71.8,0.24,0.36,0.4,0.24,24.0,0.04,0.04,0.0,0.0,19.1,11.4,10.0,6.64,2.48,13.8,54.1,6.32,12.8,3.52,9.24,9.8,28.9,22.3,0.16,27.7,25,2250,90,100,11.0,83,7.12,3.76,18,5.24,1.08,0.84,1.28,-0.44,-0.44,0.9,1.4,-0.49,-0.49,44.3,563.6,71.7,205.8,240.6,123.2,17.4,563.5,8.2,42.6,8.56,44.5,297.0,1487.8,734.6,13.3,10.2,4.92,16.9,12.4,342.4,30.6,24,25.0,344.5,77.3,6157.9,2309.6,0.68,0.68,0.54,0.0,7.56,25.2,5.0,1.0,30.6
Everton,2,26.0,1.46,0.12,0.04,0.15,0.0,1.56,0.3,0.1,0.1,7.35,20.7,35.4,4.5,53.7,41.2,15.0,0.54,3.6,1.15,1.15,14.6,28,27.1,44.7,26,286,2340,26.0,0.69,0.54,1.23,0.62,0.08,0.08,2.31,0.0,1.09,1.03,0.77,1.8,13.2,27.2,1.15,1.86,0.69,10.1,3.31,32.8,10.08,3.31,0.06,0.19,16.5,0.27,0.08,0.08,1.09,1.03,0.1,-0.4,-0.42,17.5,17.5,12.3,1.88,0.81,1.19,0.92,0.42,1.23,1.23,26,26,2340,1.46,1.46,4.88,3.42,72.4,0.19,0.27,0.54,0.23,23.1,0.12,0.12,0.0,0.0,18.4,11.0,9.77,6.58,2.04,14.0,54.2,6.42,13.2,4.62,8.62,9.96,28.3,22.7,0.5,27.1,26,2340,90,100,11.0,84,7.85,3.15,20,5.85,0.85,0.73,1.46,-0.73,-0.73,1.09,1.64,-0.55,-0.54,44.7,553.1,68.1,199.5,234.0,125.4,19.6,553.0,7.54,43.5,8.12,46.8,291.1,1555.0,753.1,13.2,10.1,3.81,16.1,8.81,332.8,27.1,28,26.0,335.2,76.6,6140.6,2273.9,0.54,0.77,0.7,-0.23,7.31,26.2,5.77,1.88,27.2
Fulham,2,25.0,1.24,0.12,0.04,0.16,0.0,1.44,0.28,0.2,0.2,4.6,13.4,34.4,4.92,33.9,32.4,13.1,0.96,7.3,1.32,1.32,14.7,29,29.0,46.5,25,275,2250,25.0,1.32,0.84,2.16,1.16,0.16,0.28,2.44,0.04,1.26,1.04,0.78,1.81,17.2,32.9,2.0,2.03,1.32,11.2,3.76,33.5,11.24,3.76,0.1,0.31,16.7,0.4,0.16,0.28,1.26,1.04,0.09,0.06,0.12,20.0,20.04,14.0,2.2,0.88,1.4,1.16,0.44,2.24,2.24,25,25,2250,1.24,1.24,5.0,3.76,77.6,0.44,0.24,0.32,0.32,32.0,0.12,0.12,0.0,0.0,16.2,9.12,7.4,5.88,2.88,13.3,56.2,5.84,11.9,3.44,8.48,9.08,25.2,19.3,0.2,29.0,25,2250,90,100,11.0,85,7.12,3.84,15,5.16,1.56,1.44,1.24,0.2,0.2,1.26,1.62,-0.36,-0.36,46.5,563.1,65.4,188.4,244.4,136.7,19.8,562.8,6.2,44.0,5.96,42.3,303.9,1684.7,897.3,17.2,12.7,3.72,14.9,10.1,342.0,32.6,29,25.0,345.2,76.2,6398.0,2285.1,0.84,0.78,0.6,0.06,8.36,25.2,7.2,2.56,32.9
Leeds United,1,25.0,1.6,0.08,0.04,0.2,0.04,1.33,0.28,-0.23,-0.23,2.96,13.6,21.8,5.72,40.5,34.3,12.6,1.08,8.5,1.96,1.96,16.1,28,25.6,49.7,25,275,2250,25.0,1.08,0.8,1.88,1.04,0.04,0.08,2.24,0.08,1.26,1.2,0.86,2.06,15.4,38.4,1.84,2.12,1.08,12.1,3.64,30.0,12.12,3.64,0.09,0.29,16.9,0.56,0.04,0.08,1.26,1.2,0.1,-0.18,-0.16,20.5,20.52,14.3,2.64,0.76,1.24,1.28,0.28,1.64,1.64,25,25,2250,1.6,1.6,4.48,2.92,66.1,0.2,0.28,0.52,0.2,20.0,0.08,0.08,0.0,0.0,23.1,13.3,10.3,9.48,3.32,21.5,52.1,10.3,13.4,3.04,10.4,10.0,33.1,17.5,0.36,25.6,25,2250,90,100,11.0,82,6.8,4.2,21,4.8,0.88,1.16,1.6,-0.44,-0.44,1.26,1.46,-0.21,-0.21,49.7,591.7,54.8,185.8,259.2,152.3,21.0,591.6,6.84,38.3,9.08,50.8,312.8,1496.0,744.8,15.4,10.1,4.0,16.4,10.9,345.3,38.1,28,25.0,348.2,74.2,5678.0,2270.3,0.8,0.86,0.71,-0.06,9.12,29.6,7.16,1.52,38.4
