Arsenal,29,38.0,,,,,1.0,,,,,,,,,,,,,,,,,29,26.9,,38,418,3420,38.0,1.92,,3.37,1.82,0.11,0.16,,,,,,,,,3.26,,1.92,,5.29,35.4,14.95,5.29,0.12,0.34,,,0.11,0.16,,,,,,,,,,,,390.0,,,,38,11.0,3420,,1.16,4.39,3.24,79.6,0.61,0.16,0.24,0.34,34.2,0.26,,0.0,0.0,,492.0,,,,,,,,14.9,,558.0,,,,26.9,38,3420,90,100,38.0,,,2.92,0,4.08,1.97,2.03,1.16,0.87,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,29,38.0,,,,,,,,,,,,,,58.9,1.45,0.0,0.0,,,1.16,0.26,0.0,0.0,0.0,394.0,99.0,701.0,4.0,10.0
Bournemouth,27,38.0,,,,,4.0,,,,,,,,,,,,,,,,,27,27.0,,38,418,3420,38.0,1.39,,2.26,1.21,0.18,0.26,,,,,,,,,2.08,,1.39,,4.21,35.4,11.89,4.21,0.1,0.29,,,0.18,0.26,,,,,,,,,,,,492.0,,,,38,11.0,3420,,1.76,4.97,3.21,65.6,0.32,0.26,0.42,0.26,26.3,0.13,,0.05,0.03,,466.0,,,,,,,,11.9,,481.0,,,,27.0,38,3420,90,100,38.0,,,2.89,0,4.11,1.21,1.45,1.76,-0.32,-0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,27,38.0,,,,,,,,,,,,,,51.5,0.87,0.0,0.05,,,1.76,0.05,0.0,2.0,2.0,372.0,54.0,642.0,11.0,4.0
Burnley,27,38.0,,,,,2.0,,,,,,,,,,,,,,,,,27,27.7,,38,418,3420,38.0,1.03,,1.66,0.87,0.16,0.16,,,,,,,,,1.5,,1.03,,3.18,31.2,10.21,3.18,0.09,0.27,,,0.16,0.16,,,,,,,,,,,,415.0,,,,38,11.0,3420,,1.45,5.47,4.03,75.5,0.29,0.18,0.53,0.26,26.3,0.13,,0.03,0.0,,473.0,,,,,,,,10.2,,569.0,,,,27.7,38,3420,90,100,38.0,,,2.76,0,4.24,1.05,1.03,1.45,-0.42,-0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,27,38.0,,,,,,,,,,,,,,40.3,0.63,0.0,0.03,,,1.45,0.11,0.0,1.0,1.0,428.0,103.0,676.0,4.0,5.0
Chelsea,24,38.0,,,,,1.0,,,,,,,,,,,,,,,,,24,27.2,,38,418,3420,38.0,2.18,,3.58,2.13,0.05,0.11,,,,,,,,,3.53,,2.18,,5.39,35.2,15.32,5.39,0.14,0.4,,,0.05,0.11,,,,,,,,,,,,474.0,,,,38,11.0,3420,,0.87,2.76,1.89,70.5,0.79,0.08,0.13,0.42,42.1,0.05,,0.0,0.0,,482.0,,,,,,,,15.3,,523.0,,,,27.2,38,3420,90,100,38.0,,,3.0,0,4.0,2.45,2.24,0.87,1.37,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,24,38.0,,,,,,,,,,,,,,55.1,1.39,0.0,0.0,,,0.87,0.05,0.0,0.0,0.0,394.0,65.0,697.0,4.0,2.0
Crystal Palace,31,38.0,,,,,0.0,,,,,,,,,,,,,,,,,31,27.7,,38,418,3420,38.0,1.26,,2.11,1.16,0.11,0.18,,,,,,,,,2.0,,1.26,,3.61,31.1,11.61,3.61,0.1,0.32,,,0.11,0.18,,,,,,,,,,,,470.0,,,,38,11.0,3420,,1.66,4.63,2.97,65.3,0.32,0.13,0.55,0.18,18.4,0.05,,0.0,0.0,,521.0,,,,,,,,11.6,,575.0,,,,27.7,38,3420,90,100,38.0,,,2.89,0,4.11,1.08,1.32,1.66,-0.34,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,31,38.0,,,,,,,,,,,,,,45.4,0.84,0.0,0.0,,,1.66,0.05,0.0,0.0,0.0,471.0,57.0,880.0,6.0,2.0
Everton,27,38.0,,,,,1.0,,,,,,,,,,,,,,,,,27,27.5,,38,418,3420,38.0,1.53,,2.71,1.45,0.08,0.11,,,,,,,,,2.63,,1.53,,5.05,38.4,13.16,5.05,0.11,0.29,,,0.08,0.11,,,,,,,,,,,,419.0,,,,38,11.0,3420,,1.16,3.89,2.74,72.3,0.45,0.26,0.29,0.34,34.2,0.13,,0.03,0.03,,557.0,,,,,,,,13.2,,472.0,,,,27.5,38,3420,90,100,38.0,,,2.82,0,4.16,1.61,1.63,1.16,0.47,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,27,38.0,,,,,,,,,,,,,,52.1,1.18,0.0,0.03,,,1.16,0.08,0.0,1.0,1.0,457.0,83.0,775.0,3.0,5.0
Hull City,28,38.0,,,,,5.0,,,,,,,,,,,,,,,,,28,27.4,,38,418,3420,38.0,0.95,,1.58,0.87,0.08,0.08,,,,,,,,,1.5,,0.95,,3.32,31.8,10.42,3.32,0.08,0.26,,,0.08,0.08,,,,,,,,,,,,390.0,,,,38,11.0,3420,,2.11,5.63,3.53,67.8,0.24,0.18,0.58,0.13,13.2,0.37,,0.05,0.03,,474.0,,,,,,,,10.4,,587.0,,,,27.4,38,3420,90,100,38.0,,,2.66,0,4.34,0.89,0.97,2.11,-1.13,-1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,28,38.0,,,,,,,,,,,,,,45.9,0.63,0.0,0.0,,,2.11,0.29,0.0,0.0,0.0,403.0,71.0,748.0,2.0,14.0
Leicester City,25,38.0,,,,,2.0,,,,,,,,,,,,,,,,,25,27.8,,38,418,3420,38.0,1.21,,2.05,1.11,0.11,0.16,,,,,,,,,1.95,,1.21,,3.82,33.3,11.45,3.82,0.1,0.29,,,0.11,0.16,,,,,,,,,,,,332.0,,,,38,11.0,3420,,1.66,5.0,3.34,68.4,0.32,0.21,0.47,0.24,23.7,0.08,,0.0,0.0,,508.0,,,,,,,,11.4,,559.0,,,,27.8,38,3420,90,100,38.0,,,2.79,0,4.21,1.16,1.26,1.66,-0.39,-0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,25,38.0,,,,,,,,,,,,,,41.9,0.84,0.0,0.0,,,1.66,0.08,0.0,0.0,0.0,447.0,65.0,735.0,5.0,4.0
Liverpool,23,38.0,,,,,0.0,,,,,,,,,,,,,,,,,23,26.1,,38,418,3420,38.0,2.03,,3.39,1.84,0.18,0.21,,,,,,,,,3.21,,2.03,,6.21,36.9,16.82,6.21,0.11,0.3,,,0.18,0.21,,,,,,,,,,,,383.0,,,,38,11.0,3420,,1.11,3.0,1.89,65.8,0.58,0.26,0.16,0.32,31.6,0.13,,0.05,0.0,,540.0,,,,,,,,16.8,,425.0,,,,26.1,38,3420,90,100,38.0,,,2.63,0,4.37,2.0,2.05,1.11,0.95,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,23,38.0,,,,,,,,,,,,,,62.0,1.37,0.0,0.0,,,1.11,0.08,0.0,0.0,0.0,396.0,78.0,815.0,5.0,5.0
Manchester City,25,38.0,,,,,1.0,,,,,,,,,,,,,,,,,25,28.5,,38,418,3420,38.0,1.97,,3.39,1.79,0.18,0.24,,,,,,,,,3.21,,1.97,,5.66,34.0,16.66,5.66,0.11,0.32,,,0.18,0.24,,,,,,,,,,,,427.0,,,,38,11.0,3420,,1.03,2.76,1.74,64.8,0.61,0.24,0.16,0.32,31.6,0.13,,0.03,0.05,,476.0,,,,,,,,16.7,,527.0,,,,28.5,38,3420,90,100,38.0,,,2.79,0,4.18,2.05,2.11,1.03,1.08,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,25,38.0,,,,,,,,,,,,,,65.0,1.42,0.0,0.0,,,1.03,0.05,0.0,0.0,0.0,395.0,93.0,810.0,9.0,5.0
