Squad,# Pl_x,90s_x,GA_x,PKA_x,FK_x,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_x,Att_x,Cmp%_x,Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,# Pl_y,Age_x,Poss_x,MP_x,Starts_x,Min_x,90s_y,Gls_x,Ast_x,G+A,G-PK,PK_x,PKatt_x,CrdY,CrdR,xG_x,npxG_x,xAG_x,npxG+xAG,PrgC_x,PrgP_x,G+A-PK,xG+xAG,Gls_y,Sh_x,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_y,PK_y,PKatt_y,xG_y,npxG_y,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,PassLive,PassDead,TO,Sh_y,Fld,Def,GCA,GCA90,MP_y,Starts_y,Min_y,GA_y,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA_y,PKsv,PKm,Tkl,TklW,Def 3rd_x,Mid 3rd_x,Att 3rd_x,Att_y,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Age_y,MP,Min,Mn/MP,Min%,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Poss_y,Touches,Def Pen,Def 3rd_y,Mid 3rd_y,Att 3rd_y,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_x,PrgDist_x,PrgC_y,1/3_x,CPA,Mis,Dis,Rec,PrgR,# Pl,90s,Cmp_y,Cmp%_y,TotDist_y,PrgDist_y,Ast_y,xAG_y,xA,A-xAG,KP,1/3_y,PPA,CrsPA,PrgP_y
Arsenal,2,38.0,1.26,0.13,0.0,0.08,0.03,1.25,0.29,0.02,0.02,3.97,14.0,28.3,4.61,34.9,33.3,12.8,0.84,6.6,1.61,1.61,15.6,27,24.4,52.8,38,418,3420,38.0,1.58,1.08,2.66,1.45,0.13,0.21,1.76,0.11,1.59,1.45,1.06,2.51,19.3,43.6,2.53,2.65,1.58,15.3,4.89,32.0,15.29,4.89,0.09,0.3,17.8,0.58,0.13,0.21,1.59,1.45,0.1,-0.01,-0.0,27.1,27.11,20.7,1.79,1.5,1.74,1.03,0.32,2.61,2.61,38,38,3420,1.26,1.26,3.87,2.63,70.7,0.58,0.08,0.34,0.34,34.2,0.16,0.13,0.0,0.03,14.2,8.18,6.87,5.13,2.21,13.2,48.8,6.74,10.2,3.24,6.92,7.79,22.0,17.3,0.53,24.4,38,3420,90,100,11.0,85,8.0,2.89,17,6.11,1.82,1.61,1.26,0.34,0.34,1.59,1.2,0.39,0.39,52.8,625.8,58.6,188.2,272.0,170.8,25.8,625.6,8.39,54.1,7.13,45.9,368.2,1935.0,1036.5,19.3,13.0,5.87,14.7,8.87,422.8,43.2,27,38.0,425.7,81.5,7391.3,2397.7,1.08,1.06,0.91,0.02,11.5,35.6,8.66,1.95,43.6
Aston Villa,3,38.0,1.42,0.11,0.05,0.13,0.05,1.22,0.29,-0.14,-0.14,4.13,11.6,35.5,4.63,36.4,33.6,13.5,1.05,7.8,0.89,0.89,14.8,31,26.1,46.5,38,418,3420,38.0,1.32,1.11,2.42,1.24,0.08,0.08,2.13,0.05,1.16,1.11,0.92,2.02,17.2,34.2,2.34,2.08,1.32,12.1,4.18,34.5,12.13,4.18,0.1,0.3,17.6,0.53,0.08,0.08,1.16,1.11,0.09,0.16,0.13,22.0,22.03,16.0,2.24,1.29,1.08,1.26,0.16,2.45,2.45,38,38,3420,1.42,1.42,3.92,2.53,66.4,0.34,0.16,0.5,0.29,28.9,0.16,0.11,0.03,0.03,16.7,10.1,7.89,6.82,1.97,17.1,46.2,9.18,11.9,3.68,8.24,8.92,25.6,18.2,0.34,26.1,38,3420,90,100,11.0,85,8.0,2.97,20,6.0,1.18,1.37,1.42,-0.05,-0.05,1.16,1.29,-0.13,-0.13,46.5,542.3,63.4,180.9,234.1,132.9,21.7,542.3,8.76,56.7,6.68,43.3,310.4,1645.0,833.5,17.2,11.1,4.37,15.7,9.05,333.4,34.0,31,38.0,335.5,77.3,5815.1,2247.5,1.11,0.92,0.79,0.19,9.37,26.8,7.71,1.84,34.2
Brentford,3,38.0,1.47,0.13,0.03,0.21,0.05,1.3,0.25,-0.12,-0.12,7.84,20.2,38.8,4.84,43.1,35.4,16.5,0.97,5.9,1.53,1.53,16.4,29,25.4,44.8,38,418,3420,38.0,1.21,0.87,2.08,1.05,0.16,0.16,1.71,0.08,1.21,1.08,0.87,1.95,11.8,31.3,1.92,2.07,1.21,11.5,3.71,32.3,11.47,3.71,0.09,0.28,16.3,0.29,0.16,0.16,1.21,1.08,0.1,0.01,-0.03,19.4,19.45,12.8,2.53,0.97,1.63,1.13,0.37,2.05,2.05,38,38,3420,1.47,1.47,4.71,3.29,71.5,0.34,0.18,0.47,0.24,23.7,0.13,0.13,0.0,0.0,16.0,9.0,7.87,6.0,2.11,16.2,47.2,8.55,10.1,2.97,7.11,10.3,26.3,22.7,0.18,25.4,38,3420,90,100,11.0,84,8.0,3.0,22,5.87,1.21,1.26,1.47,-0.21,-0.21,1.21,1.28,-0.07,-0.07,44.8,538.5,73.5,206.9,215.8,120.2,21.6,538.3,6.89,55.0,5.63,45.0,270.5,1313.8,686.4,11.8,8.74,2.68,14.8,7.66,304.3,30.8,29,38.0,307.3,71.8,5575.4,2262.7,0.87,0.87,0.89,0.0,8.18,24.8,6.89,2.13,31.3
Brighton,2,38.0,1.16,0.08,0.03,0.16,0.0,1.12,0.28,-0.04,-0.04,4.24,14.9,28.3,4.95,31.4,32.8,14.1,1.58,11.2,0.95,0.95,12.8,26,26.2,54.4,38,418,3420,38.0,1.05,0.79,1.84,0.95,0.11,0.18,1.89,0.05,1.22,1.07,0.85,1.92,17.8,40.7,1.74,2.06,1.05,12.7,3.71,29.3,12.68,3.71,0.07,0.26,17.7,0.39,0.11,0.18,1.22,1.07,0.09,-0.16,-0.12,22.9,22.89,16.6,2.21,1.29,1.45,1.05,0.32,1.89,1.89,38,38,3419,1.16,1.16,3.84,2.68,71.9,0.32,0.39,0.29,0.29,28.9,0.11,0.08,0.0,0.03,17.6,10.6,8.05,6.76,2.76,14.8,43.2,8.42,12.6,3.95,8.68,9.42,27.0,19.0,0.32,26.2,38,3420,90,100,11.0,84,8.11,2.92,22,6.08,1.34,1.11,1.16,-0.05,-0.05,1.22,1.13,0.09,0.09,54.4,654.1,69.2,211.4,276.8,171.2,23.1,653.9,8.34,56.7,6.37,43.3,366.3,1803.6,923.6,17.8,13.7,3.66,15.7,9.18,428.4,40.2,26,38.0,431.8,79.7,7600.7,2508.1,0.79,0.85,0.83,-0.06,9.37,31.2,9.0,1.89,40.7
Burnley,2,38.0,1.39,0.13,0.03,0.18,0.05,1.25,0.25,-0.09,-0.09,9.11,22.9,39.8,4.05,69.8,46.5,16.9,1.21,7.2,2.21,2.21,17.4,23,28.5,40.2,38,418,3420,38.0,0.84,0.68,1.53,0.82,0.03,0.05,1.79,0.05,1.04,1.0,0.82,1.82,10.2,25.6,1.5,1.87,0.84,10.7,3.13,29.4,10.66,3.13,0.08,0.26,17.2,0.37,0.03,0.05,1.04,1.0,0.1,-0.2,-0.19,17.7,17.74,12.0,2.13,0.74,1.32,1.32,0.26,1.58,1.58,38,38,3420,1.39,1.39,4.68,3.34,73.0,0.18,0.37,0.45,0.24,23.7,0.13,0.13,0.0,0.0,15.5,8.53,7.18,6.18,2.16,14.1,46.8,7.47,13.4,5.55,7.84,10.8,26.3,23.3,0.47,28.5,38,3420,90,100,11.0,86,8.45,2.53,19,6.42,0.92,0.89,1.39,-0.5,-0.5,1.04,1.5,-0.46,-0.46,40.2,483.4,59.1,153.7,211.9,123.3,17.4,483.4,6.79,53.9,5.82,46.1,216.6,1112.4,501.6,10.2,7.89,2.21,14.2,7.66,245.8,25.2,23,38.0,248.8,67.0,4705.0,2110.4,0.68,0.82,0.74,-0.14,7.53,23.1,6.32,2.21,25.6
Chelsea,2,38.0,0.87,0.16,0.0,0.05,0.03,0.83,0.22,-0.01,-0.01,2.39,5.84,41.0,4.82,19.0,25.5,11.0,0.79,7.2,1.42,1.42,15.4,26,27.4,61.8,38,418,3420,38.0,1.97,1.37,3.34,1.76,0.21,0.24,1.66,0.03,1.67,1.49,1.18,2.67,23.5,51.8,3.13,2.85,1.97,15.3,5.26,34.3,15.34,5.26,0.11,0.34,17.4,0.68,0.21,0.24,1.67,1.49,0.1,0.31,0.27,28.0,28.0,21.5,1.63,1.26,1.97,1.29,0.32,3.55,3.55,38,38,3420,0.87,0.87,3.03,2.18,76.5,0.55,0.29,0.16,0.42,42.1,0.16,0.16,0.0,0.0,16.3,9.16,7.03,7.08,2.24,14.9,45.3,8.16,10.7,2.53,8.21,9.13,25.5,16.9,0.39,27.4,38,3420,90,100,11.0,84,8.05,2.92,22,5.95,1.95,2.0,0.87,1.13,1.13,1.67,0.87,0.79,0.79,61.8,762.5,60.0,208.6,352.2,207.4,28.1,762.3,9.58,58.3,6.84,41.7,449.7,2268.1,1223.8,23.5,19.2,6.39,15.6,10.1,553.7,51.5,26,38.0,557.6,85.1,9008.6,2975.9,1.37,1.18,1.12,0.19,11.6,42.5,11.5,1.74,51.8
Crystal Palace,2,38.0,1.21,0.08,0.05,0.29,0.05,1.01,0.24,-0.14,-0.14,3.42,9.87,34.7,5.84,27.0,28.6,13.8,0.74,5.3,1.13,1.13,15.1,24,27.1,51.1,38,418,3420,38.0,1.32,0.82,2.13,1.16,0.16,0.21,1.82,0.03,1.22,1.06,0.82,1.87,15.6,32.3,1.97,2.04,1.32,10.6,3.68,34.7,10.63,3.68,0.11,0.31,16.1,0.34,0.16,0.21,1.22,1.06,0.1,0.09,0.1,18.7,18.71,13.2,1.66,1.13,1.21,1.13,0.42,2.13,2.13,38,38,3420,1.21,1.21,3.79,2.61,70.1,0.29,0.39,0.32,0.32,31.6,0.11,0.08,0.03,0.0,16.8,9.84,8.5,6.21,2.05,15.1,47.5,7.95,11.9,3.55,8.34,8.76,25.5,20.0,0.13,27.1,38,3420,90,100,11.0,85,8.13,2.84,18,6.03,1.26,1.32,1.21,0.11,0.11,1.22,1.07,0.15,0.15,51.1,617.5,72.4,230.6,262.9,130.1,19.7,617.3,10.1,55.6,8.03,44.4,345.5,1734.9,873.1,15.6,10.8,3.92,17.7,12.4,391.5,31.9,24,38.0,394.3,78.5,6987.8,2434.8,0.82,0.82,0.79,0.0,8.03,26.1,7.11,1.97,32.3
Everton,2,38.0,1.74,0.05,0.05,0.34,0.13,1.47,0.29,-0.13,-0.13,7.68,22.2,34.6,3.26,65.2,46.5,14.9,0.68,4.6,0.97,0.97,14.4,33,26.7,40.0,38,418,3420,38.0,1.11,0.76,1.87,0.95,0.16,0.18,2.16,0.16,1.08,0.94,0.75,1.69,13.5,28.9,1.71,1.83,1.11,11.3,3.42,30.2,11.32,3.42,0.08,0.28,17.7,0.47,0.16,0.18,1.08,0.94,0.08,0.02,0.01,19.5,19.53,14.0,1.82,1.13,1.11,1.18,0.26,1.79,1.79,38,38,3420,1.74,1.74,4.95,3.34,66.0,0.29,0.16,0.55,0.21,21.1,0.05,0.05,0.0,0.0,18.6,10.6,9.71,6.63,2.21,19.3,45.7,10.5,13.1,3.68,9.37,9.61,28.2,21.4,0.39,26.7,38,3420,90,100,11.0,85,8.34,2.55,21,6.32,1.03,1.13,1.74,-0.61,-0.61,1.08,1.46,-0.37,-0.37,40.0,502.0,60.2,168.3,207.9,131.9,19.2,501.8,8.87,53.2,7.76,46.5,247.9,1406.4,673.7,13.5,10.2,3.76,16.8,8.55,270.4,28.6,33,38.0,272.8,71.2,4863.5,2004.3,0.76,0.75,0.66,0.01,8.5,23.6,6.71,2.03,28.9
Leeds United,2,38.0,2.08,0.13,0.08,0.26,0.03,1.64,0.26,-0.41,-0.41,2.87,10.9,26.4,7.26,27.5,29.3,11.7,0.61,5.2,1.24,1.24,14.4,29,26.1,52.3,38,418,3420,38.0,1.11,0.68,1.79,0.97,0.13,0.13,2.66,0.08,1.17,1.06,0.82,1.89,17.7,39.0,1.66,1.99,1.11,12.6,3.74,29.6,12.63,3.74,0.08,0.26,18.3,0.34,0.13,0.13,1.17,1.06,0.09,-0.06,-0.09,21.7,21.71,15.5,1.79,1.37,1.58,1.11,0.37,1.74,1.74,38,38,3420,2.08,2.08,5.89,3.84,67.0,0.24,0.29,0.47,0.13,13.2,0.13,0.13,0.0,0.0,20.7,11.5,10.4,7.84,2.45,23.3,46.0,12.6,12.4,3.76,8.68,10.4,31.1,16.3,0.39,26.1,38,3420,90,100,11.0,82,8.21,2.79,29,6.16,1.0,1.11,2.08,-0.97,-0.97,1.17,1.78,-0.62,-0.62,52.3,597.5,68.6,224.2,250.1,129.4,20.8,597.4,8.92,51.8,8.32,48.2,322.6,1765.8,956.7,17.7,10.8,4.47,17.8,7.84,364.9,38.6,29,38.0,368.1,76.5,6385.9,2346.3,0.68,0.82,0.66,-0.14,9.13,26.2,7.16,1.39,39.0
Leicester City,2,38.0,1.55,0.18,0.03,0.39,0.03,1.5,0.26,-0.03,-0.03,5.16,12.9,39.9,4.58,35.6,33.9,14.5,0.42,2.9,1.03,1.03,14.7,28,26.5,52.0,38,418,3420,38.0,1.63,1.21,2.84,1.58,0.05,0.05,1.45,0.03,1.26,1.22,0.9,2.12,16.4,35.7,2.79,2.16,1.63,11.4,4.32,37.9,11.39,4.32,0.14,0.37,17.8,0.37,0.05,0.05,1.26,1.22,0.11,0.37,0.36,19.6,19.61,14.9,1.08,1.26,1.11,0.87,0.39,2.76,2.76,38,38,3420,1.55,1.55,5.05,3.47,72.9,0.37,0.26,0.37,0.18,18.4,0.24,0.18,0.05,0.0,18.2,10.1,8.84,7.11,2.21,18.9,42.5,10.9,12.3,3.84,8.5,9.66,27.8,20.4,0.39,26.5,38,3420,90,100,11.0,84,8.11,2.87,23,6.11,1.37,1.63,1.55,0.08,0.08,1.26,1.56,-0.3,-0.3,52.0,642.3,72.9,225.7,291.2,130.6,19.6,642.3,7.82,54.3,6.58,45.7,365.7,1808.1,914.8,16.4,12.3,4.13,15.8,9.68,422.0,35.6,28,38.0,424.4,80.1,7093.3,2479.3,1.21,0.9,0.71,0.31,8.21,27.0,6.68,1.5,35.7
