Squad,# Pl_x,90s_x,Gls_x,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK_x,PKatt_x,# Pl_y,Age_x,Poss,MP_x,Starts_x,Min_x,90s_y,Gls_y,Ast,G+A,G-PK,PK_y,PKatt_y,CrdY_x,CrdR_x,PrgC,PrgP,G+A-PK,Age_y,MP_y,Min_y,Mn/MP,Min%,Starts_y,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,# Pl,90s,CrdY_y,CrdR_y,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Arsenal,25,38.0,1.63,,5.53,,,5.53,,0.29,,0.03,0.05,25,27.0,58.3,38,418,3420.0,38.0,1.63,1.39,3.03,1.61,0.03,0.05,0.0,0.0,,,3.0,27.0,38,3420.0,90.0,100,11.0,,,2.82,0,4.18,1.87,1.71,0.95,0.76,0.76,38,38,3420,0.95,0.95,3.89,2.95,75.7,0.53,0.29,0.18,0.47,47.4,,,,,25,38.0,0,0,,348,,,,,,,,
Aston Villa,29,38.0,0.63,,2.89,,,2.89,,0.2,,0.05,0.05,29,26.6,46.4,38,418,3420.0,38.0,0.63,0.5,1.13,0.58,0.05,0.05,0.0,0.0,,,1.08,26.6,38,3420.0,90.0,100,11.0,,,2.24,0,4.76,0.45,0.71,2.0,-1.29,-1.29,38,38,3420,2.0,2.0,4.89,2.89,59.1,0.08,0.21,0.71,0.16,15.8,,,,,29,38.0,0,0,,429,,,,,,,,
Bournemouth,28,38.0,1.13,,3.76,,,3.76,,0.28,,0.08,0.11,28,27.7,51.2,38,418,3420.0,38.0,1.13,0.74,1.87,1.05,0.08,0.11,0.0,0.0,,,1.79,27.7,38,3420.0,90.0,100,11.0,,,2.87,0,4.13,1.11,1.18,1.76,-0.58,-0.58,38,38,3420,1.76,1.76,4.0,2.24,55.9,0.29,0.24,0.47,0.18,18.4,,,,,28,38.0,0,0,,361,,,,,,,,
Chelsea,28,38.0,1.45,,4.53,,,4.53,,0.3,,0.11,0.13,28,26.8,56.2,38,418,3420.0,38.0,1.45,1.05,2.5,1.34,0.11,0.13,0.0,0.0,,,2.39,26.8,38,3420.0,90.0,100,11.0,,,2.71,0,4.29,1.32,1.55,1.39,0.16,0.16,38,38,3419,1.39,1.4,4.53,3.13,69.2,0.32,0.37,0.32,0.24,23.7,,,,,28,38.0,0,0,,401,,,,,,,,
Crystal Palace,30,38.0,1.0,,4.03,,,4.03,,0.22,,0.11,0.13,30,27.7,45.8,38,418,3420.0,38.0,1.0,0.55,1.55,0.89,0.11,0.13,0.0,0.0,,,1.45,27.7,38,3420.0,90.0,100,11.0,,,2.79,0,4.21,1.11,1.03,1.34,-0.32,-0.32,38,38,3420,1.34,1.34,4.42,3.08,69.6,0.29,0.24,0.47,0.21,21.1,,,,,30,38.0,0,0,,465,,,,,,,,
Everton,31,38.0,1.47,,4.58,,,4.58,,0.3,,0.11,0.13,31,26.5,51.9,38,418,3420.0,38.0,1.47,1.16,2.63,1.37,0.11,0.13,0.0,0.0,,,2.53,26.5,38,3420.0,90.0,100,11.0,,,2.58,0,4.42,1.24,1.55,1.45,0.11,0.11,38,38,3420,1.45,1.45,4.71,3.26,69.3,0.29,0.37,0.34,0.26,26.3,,,,,31,38.0,0,0,,306,,,,,,,,
Leicester City,23,38.0,1.79,,4.71,,,4.71,,0.32,,0.26,0.34,23,27.7,42.6,38,418,3420.0,38.0,1.79,1.13,2.92,1.53,0.26,0.34,0.0,0.0,,,2.66,27.7,38,3420.0,90.0,100,11.0,,,2.87,0,4.13,2.13,1.79,0.95,0.84,0.84,38,38,3420,0.95,0.95,3.58,2.63,73.5,0.61,0.32,0.08,0.39,39.5,,,,,23,38.0,0,0,,406,,,,,,,,
Liverpool,34,38.0,1.63,,5.24,,,5.24,,0.3,,0.05,0.05,34,25.2,57.2,38,418,3420.0,38.0,1.63,1.32,2.95,1.58,0.05,0.05,0.0,0.0,,,2.89,25.2,38,3420.0,90.0,100,11.0,,,2.87,0,4.11,1.58,1.66,1.32,0.34,0.34,38,38,3420,1.32,1.32,3.42,2.11,61.5,0.42,0.32,0.26,0.29,28.9,,,,,34,38.0,0,0,,410,,,,,,,,
Manchester City,25,38.0,1.87,,5.53,,,5.53,,0.31,,0.13,0.21,25,28.3,56.9,38,418,3420.0,38.0,1.87,1.39,3.26,1.74,0.13,0.21,0.0,0.0,,,3.13,28.3,38,3420.0,90.0,100,11.0,,,2.87,0,4.16,1.74,1.87,1.08,0.79,0.79,38,38,3420,1.08,1.08,3.29,2.21,67.2,0.5,0.24,0.26,0.42,42.1,,,,,25,38.0,0,0,,409,,,,,,,,
Manchester Utd,33,38.0,1.21,,3.79,,,3.79,,0.3,,0.08,0.08,33,25.6,58.5,38,418,3420.0,38.0,1.21,0.82,2.03,1.13,0.08,0.08,0.0,0.0,,,1.95,25.6,38,3420.0,90.0,100,11.0,,,2.84,0,4.13,1.74,1.29,0.92,0.37,0.37,38,38,3420,0.92,0.92,3.16,2.24,70.8,0.5,0.24,0.26,0.47,47.4,,,,,33,38.0,0,0,,473,,,,,,,,
